"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US02130","ZCTA5 02130","40749","1364"
"8600000US02131","ZCTA5 02131","34419","1322"
"8600000US02132","ZCTA5 02132","27801","866"
"8600000US02134","ZCTA5 02134","19907","948"
"8600000US02135","ZCTA5 02135","44951","1296"
"8600000US02136","ZCTA5 02136","35213","1548"
"8600000US02138","ZCTA5 02138","38504","1173"
"8600000US02139","ZCTA5 02139","38715","1033"
"8600000US02140","ZCTA5 02140","21490","890"
"8600000US02141","ZCTA5 02141","14522","605"
"8600000US02142","ZCTA5 02142","3676","405"
"8600000US02143","ZCTA5 02143","25327","947"
"8600000US02144","ZCTA5 02144","24818","932"
"8600000US02145","ZCTA5 02145","28402","897"
"8600000US02148","ZCTA5 02148","60984","33"
"8600000US02149","ZCTA5 02149","46118","36"
"8600000US02150","ZCTA5 02150","39983","48"
"8600000US02151","ZCTA5 02151","53701","62"
"8600000US02152","ZCTA5 02152","18542","24"
"8600000US02155","ZCTA5 02155","59735","309"
"8600000US02163","ZCTA5 02163","2621","449"
"8600000US02169","ZCTA5 02169","56523","853"
"8600000US02170","ZCTA5 02170","19848","990"
"8600000US02171","ZCTA5 02171","17836","893"
"8600000US02176","ZCTA5 02176","28113","56"
"8600000US02180","ZCTA5 02180","23223","27"
"8600000US02184","ZCTA5 02184","37220","49"
"8600000US02186","ZCTA5 02186","27572","34"
"8600000US02188","ZCTA5 02188","15831","881"
"8600000US02189","ZCTA5 02189","15296","795"
"8600000US02190","ZCTA5 02190","17247","729"
"8600000US02191","ZCTA5 02191","8360","429"
"8600000US02199","ZCTA5 02199","1157","275"
"8600000US02203","ZCTA5 02203","30","25"
"8600000US02210","ZCTA5 02210","3715","461"
"8600000US02215","ZCTA5 02215","25770","1299"
"8600000US02301","ZCTA5 02301","63420","1083"
"8600000US02302","ZCTA5 02302","32174","1086"
"8600000US02322","ZCTA5 02322","4500","20"
"8600000US02324","ZCTA5 02324","27436","27"
"8600000US02330","ZCTA5 02330","11720","30"
"8600000US02332","ZCTA5 02332","15812","22"
"8600000US02333","ZCTA5 02333","14466","54"
"8600000US02338","ZCTA5 02338","7842","16"
"8600000US02339","ZCTA5 02339","14459","21"
"8600000US02341","ZCTA5 02341","10777","33"
"8600000US02343","ZCTA5 02343","10423","941"
"8600000US02346","ZCTA5 02346","24802","64"
"8600000US02347","ZCTA5 02347","11420","78"
"8600000US02351","ZCTA5 02351","16436","36"
"8600000US02356","ZCTA5 02356","13312","535"
"8600000US02357","ZCTA5 02357","1061","239"
"8600000US02359","ZCTA5 02359","18380","30"
"8600000US02360","ZCTA5 02360","59826","48"
"8600000US02364","ZCTA5 02364","13566","42"
"8600000US02366","ZCTA5 02366","198","41"
"8600000US02367","ZCTA5 02367","2954","28"
"8600000US02368","ZCTA5 02368","34686","948"
"8600000US02370","ZCTA5 02370","17953","39"
"8600000US02375","ZCTA5 02375","10248","536"
"8600000US02379","ZCTA5 02379","7198","50"
"8600000US02382","ZCTA5 02382","15056","28"
"8600000US02420","ZCTA5 02420","14718","531"
"8600000US02421","ZCTA5 02421","18622","527"
"8600000US02445","ZCTA5 02445","21074","843"
"8600000US02446","ZCTA5 02446","29862","786"
"8600000US02451","ZCTA5 02451","18246","657"
"8600000US02452","ZCTA5 02452","14909","695"
"8600000US02453","ZCTA5 02453","29505","792"
"8600000US02457","ZCTA5 02457","1752","199"
"8600000US02458","ZCTA5 02458","12778","613"
"8600000US02459","ZCTA5 02459","19012","794"
"8600000US02460","ZCTA5 02460","9773","733"
"8600000US02461","ZCTA5 02461","7084","550"
"8600000US02462","ZCTA5 02462","1389","256"
"8600000US02464","ZCTA5 02464","3326","311"
"8600000US02465","ZCTA5 02465","11814","612"
"8600000US02466","ZCTA5 02466","8929","506"
"8600000US02467","ZCTA5 02467","22269","921"
"8600000US02468","ZCTA5 02468","5623","315"
"8600000US02472","ZCTA5 02472","35518","89"
"8600000US02474","ZCTA5 02474","27878","577"
"8600000US02476","ZCTA5 02476","17426","577"
"8600000US02478","ZCTA5 02478","26099","34"
"8600000US02481","ZCTA5 02481","16140","461"
"8600000US02482","ZCTA5 02482","10855","445"
"8600000US02492","ZCTA5 02492","20571","428"
"8600000US02493","ZCTA5 02493","12112","25"
"8600000US02494","ZCTA5 02494","10399","429"
"8600000US02532","ZCTA5 02532","13218","846"
"8600000US02534","ZCTA5 02534","887","379"
"8600000US02535","ZCTA5 02535","1753","312"
"8600000US02536","ZCTA5 02536","19630","546"
"8600000US02537","ZCTA5 02537","6689","649"
